article_number,name,law_type
1.1,Законодательство об административных правонарушениях,КоАП РФ
1.2,Задачи законодательства об административных правонарушениях,КоАП РФ
1.3,Предметы ведения Российской Федерации в области законодательства об административных правонарушениях,КоАП РФ
1.3.1,Предметы ведения субъектов Российской Федерации в области законодательства об административных правонарушениях,КоАП РФ
1.4,Принцип равенства перед законом,КоАП РФ
1.5,Презумпция невиновности,КоАП РФ
1.6,Обеспечение законности при применении мер административного принуждения в связи с административным правонарушением,КоАП РФ
1.7,Действие законодательства об административных правонарушениях во времени,КоАП РФ
1.8,Действие законодательства об административных правонарушениях в пространстве,КоАП РФ
2.1,Административное правонарушение,КоАП РФ
2.2,Формы вины,КоАП РФ
2.3,"Возраст, по достижении которого наступает административная ответственность",КоАП РФ
2.4,Административная ответственность должностных лиц,КоАП РФ
2.5,"Административная ответственность военнослужащих, граждан, призванных на военные сборы, и лиц, имеющих специальные звания",КоАП РФ
2.6,"Административная ответственность иностранных граждан, лиц без гражданства и иностранных юридических лиц",КоАП РФ
2.6.1,Административная ответственность собственников (владельцев) транспортных средств,КоАП РФ
2.6.2,Административная ответственность собственников или иных владельцев земельных участков либо других объектов недвижимости,КоАП РФ
2.7,Крайняя необходимость,КоАП РФ
2.8,Невменяемость,КоАП РФ
2.9,Возможность освобождения от административной ответственности при малозначительности административного правонарушения,КоАП РФ
2.10,Административная ответственность юридических лиц,КоАП РФ
3.1,Цели административного наказания,КоАП РФ
3.2,Виды административных наказаний,КоАП РФ
3.3,Основные и дополнительные административные наказания,КоАП РФ
3.4,Предупреждение,КоАП РФ
3.5,Административный штраф,КоАП РФ
3.6,Утратила силу. - Федеральный закон от 28.12.2010 N 398-ФЗ.,КоАП РФ
3.7,Конфискация орудия совершения или предмета административного,КоАП РФ
3.8,Лишение специального права,КоАП РФ
3.9,Административный арест,КоАП РФ
3.10,Административное выдворение за пределы Российской Федерации иностранного гражданина или лица без гражданства,КоАП РФ
3.11,Дисквалификация,КоАП РФ
3.12,Административное приостановление деятельности,КоАП РФ
3.13,Обязательные работы,КоАП РФ
3.14,Административный запрет на посещение мест проведения официальных спортивных соревнований в дни их проведения,КоАП РФ
4.1,Общие правила назначения административного наказания,КоАП РФ
4.1.1,Замена административного наказания в виде административного штрафа предупреждением,КоАП РФ
4.2,"Обстоятельства, смягчающие административную ответственность",КоАП РФ
4.3,"Обстоятельства, отягчающие административную ответственность",КоАП РФ
4.4,Назначение административных наказаний за совершение нескольких административных правонарушений,КоАП РФ
4.5,Давность привлечения к административной ответственности,КоАП РФ
4.6,"Срок, в течение которого лицо считается подвергнутым административному наказанию",КоАП РФ
4.7,"Возмещение имущественного ущерба и морального вреда, причиненных административным правонарушением",КоАП РФ
4.8,Исчисление сроков,КоАП РФ
5.1,"Нарушение права гражданина на ознакомление со списком избирателей, участников референдума",КоАП РФ
5.2,Утратила силу. - Федеральный закон от 04.07.2003 N 94-ФЗ.,КоАП РФ
5.3,"Неисполнение решения избирательной комиссии, комиссии референдума. Непредставление сведений и материалов по запросу избирательной комиссии, комиссии референдума",КоАП РФ
5.4,"Нарушение порядка представления сведений об избирателях, участниках референдума",КоАП РФ
5.5,"Нарушение порядка участия средств массовой информации в информационном обеспечении выборов, референдумов",КоАП РФ
5.6,"Нарушение прав члена избирательной комиссии, комиссии референдума, наблюдателя, иностранного (международного) наблюдателя, доверенного лица или уполномоченного представителя кандидата, избирательного объединения, члена или уполномоченного представителя инициативной группы по проведению референдума, иной группы участников референдума либо представителя средства массовой информации",КоАП РФ
5.7,"Отказ в предоставлении отпуска для участия в выборах, референдуме",КоАП РФ
5.8,"Нарушение предусмотренных законодательством о выборах и референдумах порядка и условий проведения предвыборной агитации, агитации по вопросам референдума на каналах организаций, осуществляющих теле- и (или) радиовещание, и в периодических печатных изданиях",КоАП РФ
5.9,Нарушение в ходе избирательной кампании условий рекламы предпринимательской и иной деятельности,КоАП РФ
5.10,"Проведение предвыборной агитации, агитации по вопросам референдума вне",КоАП РФ
5.11,"Проведение предвыборной агитации, агитации по вопросам референдума лицами, которым участие в ее проведении запрещено федеральным законом",КоАП РФ
5.12,"Изготовление, распространение или размещение агитационных материалов с нарушением требований законодательства о выборах и референдумах",КоАП РФ
5.13,"Непредоставление возможности обнародовать опровержение или иное разъяснение в защиту чести, достоинства или деловой репутации",КоАП РФ
5.14,"Умышленное уничтожение или повреждение агитационного материала либо информационного материала, относящегося к выборам, референдуму",КоАП РФ
5.15,"Нарушение установленных законодательством о выборах и референдумах порядка и сроков уведомления избирательной комиссии о факте предоставления помещений и права на предоставление помещений для встреч с избирателями, участниками референдума",КоАП РФ
5.16,"Подкуп избирателей, участников референдума либо осуществление в период избирательной кампании, кампании референдума благотворительной деятельности с нарушением законодательства о выборах и референдумах",КоАП РФ
5.17,"Непредоставление или неопубликование отчета, сведений о поступлении и расходовании средств, выделенных на подготовку и проведение выборов, референдума",КоАП РФ
5.18,"Незаконное использование денежных средств при финансировании избирательной кампании кандидата, избирательного объединения, деятельности инициативной группы по проведению референдума, иной группы участников референдума",КоАП РФ
5.19,"Использование незаконной материальной поддержки при финансировании избирательной кампании, кампании референдума",КоАП РФ
5.20,"Незаконное финансирование избирательной кампании кандидата, избирательного объединения, кампании референдума, оказание запрещенной законом материальной поддержки, связанные с проведением выборов, референдума выполнение работ, оказание услуг, реализация товаров бесплатно или по необоснованно заниженным (завышенным) расценкам",КоАП РФ
