article_number;name;law_type
1;Уголовное законодательство Российской Федерации;УК РФ
2;Задачи Уголовного кодекса Российской Федерации;УК РФ
3;Принцип законности;УК РФ
4;Принцип равенства граждан перед законом;УК РФ
5;Принцип вины;УК РФ
6;Принцип справедливости;УК РФ
7;Принцип гуманизма;УК РФ
8;Основание уголовной ответственности;УК РФ
9;Действие уголовного закона во времени;УК РФ
10;Обратная сила уголовного закона;УК РФ
11;Действие уголовного закона в отношении лиц, совершивших преступление на территории Российской Федерации;УК РФ
12;Действие уголовного закона в отношении лиц, совершивших преступление вне пределов Российской Федерации;УК РФ
13;Выдача лиц, совершивших преступление;УК РФ
14;Понятие преступления;УК РФ
15;Категории преступлений;УК РФ
16;Утратила силу. - Федеральный закон от 08.12.2003 N 162-ФЗ.;УК РФ
17;Совокупность преступлений;УК РФ
18;Рецидив преступлений;УК РФ
19;Общие условия уголовной ответственности;УК РФ
20;Возраст, с которого наступает уголовная ответственность;УК РФ
21;Невменяемость;УК РФ
22;Уголовная ответственность лиц с психическим расстройством, не исключающим вменяемости;УК РФ
23;Уголовная ответственность лиц, совершивших преступление в состоянии опьянения;УК РФ
24;Формы вины;УК РФ
25;Преступление, совершенное умышленно;УК РФ
26;Преступление, совершенное по неосторожности;УК РФ
27;Ответственность за преступление, совершенное с двумя формами вины;УК РФ
28;Невиновное причинение вреда;УК РФ
29;Оконченное и неоконченное преступления;УК РФ
30;Приготовление к преступлению и покушение на преступление;УК РФ
31;Добровольный отказ от преступления;УК РФ
32;Понятие соучастия в преступлении;УК РФ
33;Виды соучастников преступления;УК РФ
34;Ответственность соучастников преступления;УК РФ
35;Совершение преступления группой лиц, группой лиц по предварительному сговору, организованной группой или преступным сообществом (преступной организацией);УК РФ
36;Эксцесс исполнителя преступления;УК РФ
37;Необходимая оборона;УК РФ
38;Причинение вреда при задержании лица, совершившего преступление;УК РФ
39;Крайняя необходимость;УК РФ
40;Физическое или психическое принуждение;УК РФ
41;Обоснованный риск;УК РФ
42;Исполнение приказа или распоряжения;УК РФ
43;Понятие и цели наказания;УК РФ
44;Виды наказаний;УК РФ
45;Основные и дополнительные виды наказаний;УК РФ
46;Штраф;УК РФ
47;Лишение права занимать определенные должности или заниматься определенной деятельностью;УК РФ
48;Лишение специального, воинского или почетного звания, классного чина и государственных наград;УК РФ
49;Обязательные работы;УК РФ
50;Исправительные работы;УК РФ
51;Ограничение по военной службе;УК РФ
52;Утратила силу. - Федеральный закон от 08.12.2003 N 162-ФЗ.;УК РФ
53;Ограничение свободы;УК РФ
53.1;Принудительные работы;УК РФ
54;Арест;УК РФ
55;Содержание в дисциплинарной воинской части;УК РФ
56;Лишение свободы на определенный срок;УК РФ
57;Пожизненное лишение свободы;УК РФ
