id;name;occupation;contained_in_original_file;area
852;«Земский съезд»;сообщество независимых депутатов из разных регионов России;yes;
929;«Компромат 1»;интернет-проект, публикующий материалы о незаконной деятельности частных лиц и компаний;yes;
866;«Москва против мобилизации»;проект, помогающий людям избежать призыва в армию в случае мобилизации;yes;
912;«Револьт-Центр»;независимое культурное пространство Сыктыквара;yes;
744;Абдурахманов Тумсо Умалтович;чеченский политический и общественный деятель;yes;Политический деятель, общественный деятель
784;Абишев Илья Еркенович;корреспондент «Русской службы Би-би-си»;yes;Корреспондент
803;Агалакова Жанна Леонидовна;журналистка, бывшая ведущая НТВ и «Первого канала»;yes;Журналист, ведущий
804;Адагамов Рустем Ринатович;блогер под псевдонимом «drugoi»;yes;Блогер
805;Азар Илья Вильямович;журналист, бывший специальный корреспондент интернет-изданий «Lenta.ru» и «Meduza»;yes;Журналист, корреспондент
813;Аксёнов Андрей Николаевич;историк, журналист;yes;историк, журналист
806;Александрова-Зорина Елизавета Борисовна;писательница, публицист, блогер, бывший колумнист газеты «Московский комсомолец»;yes;Писатель, публицист, блогер
;;;;
1016;Алесин Денис Владимирович;стендап-комик под псевдонимом «Денис Чужой»;yes;Комик
936;Алёхин Роман Юрьевич;военкор, участник вторжения России в Украину, экс-советник губернатора Курской области;yes;Корреспондент
946;Амнуэль Григорий Маркович;режиссёр, сценарист, продюсер, общественный деятель;yes;Режиссер, продюсер, сценарист
977;Антидискриминационный центр «Мемориал» («Anti-discrimination center Memorial Brussels» (ADC Memorial);;no;
740;Архангельский Александр Николаевич;литературовед, публицист;yes;Литературовед, публицист
816;Аршба Низфа Дарисмановна;абхазская журналистка;yes;Журналист
798;Ауслендер Сергей Дмитриевич;израильский военный журналист;yes;Журналист
748;Афанасьева Вера Владимировна;физик, философ, писатель;yes;Физик, ученый, философ, писатель
837;Баблоян Ирина Арамовна;журналистка, экс-ведущая радиостанции «Эхо Москвы»;yes;Журналист, ведущий
817;Балунов Александр Валентинович;рок-музыкант под псевдонимом «Балу», один из основателей хоррор-панк группы «Король и Шут»;yes;Музыкант
827;Барабаш Екатерина Юрьевна;журналистка, кинокритик;yes;Журналист, кинокритик
729;Барановский Алексей Александрович;журналист, общественный деятель;yes;Журналист, общественный деятель
777;Барбашин Антон Игоревич;политический аналитик;yes;Аналитик
950;Барскова Полина Юрьевна;поэтесса, филолог;yes;Поэт, филолог
758;Белокиев Ислам Русланович;блогер;yes;Блогер
988;Беляева Нина Александровна;экс-депутат Семилукского райсовета Воронежской области;yes;Депутат
763;Беляков Данила Валерьевич;журналист;yes;Журналист
875;Бобринский Николай Алексеевич;юрист, бывший муниципальный депутат округа Раменки, колумнист «Правмира» и «Meduza»;yes;Юрист, депутат, колумнист
919;Бобров Юрий Сергеевич;активист, экс-координатор Пермского штаба Алексея Навального;yes;Активист, координатор штаба
799;Бондарев Борис Анатольевич;дипломат, бывший сотрудник МИД России;yes;дипломат
931;Бороган Ирина Петровна;журналистка-расследовательница, заместитель главного редактора сайта agentura.ru;yes;Журналист
814;Боссарт Алла Борисовна;писательница, поэтесса, журналистка;yes;Писатель, поэт, журналист
822;Бровков Артём Андреевич;диджей, музыкант под псевдонимом «Fuze Krec», участник хип-хоп проекта Krec;yes;Диджей, музыкант
791;Бусыгина Ирина Марковна;политолог, профессор НИУ ВШЭ;yes;Политолог, профессор
750;Ваганов Вадим Александрович;ЛГБТ-активист;yes;Активист
876;Ванюков Александр Евгеньевич;кардиохирург;yes;Врач
920;Везикко Ирия Валтеровна;активистка;yes;Активист
895;Великий Дмитрий Сергеевич;блогер;yes;Блогер
730;Волна Андрей Анатольевич;врач-травматолог;yes;врач
937;Востриков Иван Алексеевич;активист;yes;Активист
818;Вырыпаев Иван Александрович;режиссёр театра и кино, актёр, сценарист;yes;Режиссер, актер, сценарист
877;Гарина Анастасия Игоревна;правозащитница, экс-глава московского отделения «Комитета против пыток»;yes;Правозащитник
808;Гатов Василий Викторович;журналист и медиаэксперт;yes;Журналист
723;Генис Александр Александрович;писатель, радиоведущий;yes;Писатель, ведущий
979;Гимранова-Лион Айгуль Ахияровна;руководитель направления культурного развития «Комитета Башкирского национального движения за рубежом»;yes;
925;Говорун Сергей Николаевич;православный монах, богослов, патролог, публицист;yes;Монах, богослов, патролог, публицист
792;Голубева Анастасия Павловна;журналистка «Русской службы Би-би-си»;yes;Журналист
841;Гончаров Василий Владимирович;музыкант под псевдонимом «Вася Обломов»;yes;Музыкант
741;Горбачёв Александр Витальевич;музыкальный журналист;yes;Журналист
828;Губанов Алексей Александрович;блогер, стример на платформе Twitch под псевдонимом «JesusAVGN»;yes;Блогер, стример
800;Гудков Лев Дмитриевич;социолог, преподаватель ВШЭ, ВШЕК при РГГУ, МВШСЭН;yes;Социолог, преподаватель
724;Гуляев Сергей Владимирович;журналист, политик, депутат Законодательного собрания Санкт-Петербурга III созыва;yes;Журналист, политик, депутат
;;;;
903;Долиев Михаил Вячеславович;политолог;yes;Политолог
989;Дорохов Владимир Юрьевич;заместитель председателя партии «Яблоко»;yes;
913;Дугарова Раджана Дашинимаевна;активистка, учёный-антрополог;yes;Активист, ученый, антрополог
883;Егорченко Евгений Андреевич;политический блогер, стример на платформе Twitch под псевдонимом «spb17o3»;yes;Блогер, стример
